,noc_code,position,low_wage,median_wage,high_wage,position_detail_link
0,(00010),Legislators     ,18.96051282051282,38.97435897435897,85.12820512820512,https://www.jobbank.gc.ca/marketreport/wages-occupation/2913/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
1,(00011),Senior government managers and officials     ,51.28,57.17,100.0,https://www.jobbank.gc.ca/marketreport/wages-occupation/919/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
2,(00012),"Senior managers - financial, communications and other business services     ",53.85,98.56,144.23,https://www.jobbank.gc.ca/marketreport/wages-occupation/1036/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
3,(00014),"Senior managers - trade, broadcasting and other services     ",26.0,43.59,92.31,https://www.jobbank.gc.ca/marketreport/wages-occupation/1207/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
4,(00015),"Senior managers - construction, transportation, production and utilities     ",25.0,49.5,105.75,https://www.jobbank.gc.ca/marketreport/wages-occupation/24275/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
5,(10010),Financial managers     ,37.44,55.56,91.76,https://www.jobbank.gc.ca/marketreport/wages-occupation/1225/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
6,(10011),Human resources managers     ,31.25,56.5,79.33,https://www.jobbank.gc.ca/marketreport/wages-occupation/17400/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
7,(10012),Purchasing managers     ,40.0,57.69,90.87,https://www.jobbank.gc.ca/marketreport/wages-occupation/14549/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
8,(10019),Other administrative services managers     ,26.92,49.74,75.0,https://www.jobbank.gc.ca/marketreport/wages-occupation/1252/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
9,(10020),"Insurance, real estate and financial brokerage managers     ",34.62,51.28,97.44,https://www.jobbank.gc.ca/marketreport/wages-occupation/14598/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
10,(10021),"Banking, credit and other investment managers     ",35.1,52.88,104.4,https://www.jobbank.gc.ca/marketreport/wages-occupation/17461/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
11,(10022),"Advertising, marketing and public relations managers     ",32.97,52.0,88.46,https://www.jobbank.gc.ca/marketreport/wages-occupation/12360/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
12,(10029),Other business services managers     ,32.69,52.31,108.17,https://www.jobbank.gc.ca/marketreport/wages-occupation/1302/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
13,(10030),Telecommunication carriers managers     ,27.2,50.48,67.31,https://www.jobbank.gc.ca/marketreport/wages-occupation/1345/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
14,(11100),Financial auditors and accountants     ,24.04,37.86,62.37,https://www.jobbank.gc.ca/marketreport/wages-occupation/131/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
15,(11101),Financial and investment analysts     ,29.44,40.0,61.54,https://www.jobbank.gc.ca/marketreport/wages-occupation/12421/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
16,(11102),Financial advisors     ,23.08,35.9,72.65,https://www.jobbank.gc.ca/marketreport/wages-occupation/296495/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
17,(11103),"Securities agents, investment dealers and brokers     ",25.96,36.92,75.48,https://www.jobbank.gc.ca/marketreport/wages-occupation/17691/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
18,(11109),Other financial officers     ,22.36,37.0,72.12,https://www.jobbank.gc.ca/marketreport/wages-occupation/296408/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
19,(11200),Human resources professionals     ,25.6,41.0,64.42,https://www.jobbank.gc.ca/marketreport/wages-occupation/251/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
20,(11201),Professional occupations in business management consulting     ,26.5,42.0,62.5,https://www.jobbank.gc.ca/marketreport/wages-occupation/310/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
21,(11202),"Professional occupations in advertising, marketing and public relations     ",20.0,31.25,54.95,https://www.jobbank.gc.ca/marketreport/wages-occupation/24813/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
22,(12010),"Supervisors, general office and administrative support workers     ",20.0,33.52,45.0,https://www.jobbank.gc.ca/marketreport/wages-occupation/366/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
